PlotID,X,Y,Area,Zone,Subtype,Reason
0,0,0,297,Road,,
1,1,0,497,Road,,
2,2,0,250,Road,,
3,3,0,162,Road,,
4,4,0,400,Road,,
5,5,0,351,Road,,
6,6,0,523,Road,,
7,7,0,540,Road,,
8,8,0,351,Road,,
9,9,0,314,Road,,
10,0,1,218,Road,,
11,1,1,497,Residential,Apartment,Inner area → peaceful housing
12,2,1,550,Residential,Apartment,Inner area → peaceful housing
13,3,1,126,Road,,
14,4,1,529,Commercial,Mall,Near road → good for business
15,5,1,316,Commercial,Mall,Near road → good for business
16,6,1,240,Road,,
17,7,1,518,Commercial,Mall,Near road → good for business
18,8,1,143,Green,Park,Scattered for public access
19,9,1,440,Road,,
20,0,2,207,Road,,
21,1,2,502,Residential,Apartment,Inner area → peaceful housing
22,2,2,500,Residential,Apartment,Inner area → peaceful housing
23,3,2,393,Road,,
24,4,2,515,Green,Park,Scattered for public access
25,5,2,286,Residential,Apartment,Inner area → peaceful housing
26,6,2,520,Road,,
27,7,2,282,Commercial,Mall,Near road → good for business
28,8,2,122,Green,Park,Scattered for public access
29,9,2,553,Road,,
30,0,3,422,Road,,
31,1,3,374,Road,,
32,2,3,475,Road,,
33,3,3,452,Road,,
34,4,3,513,Road,,
35,5,3,328,Road,,
36,6,3,264,Road,,
37,7,3,159,Road,,
38,8,3,308,Road,,
39,9,3,394,Road,,
40,0,4,421,Road,,
41,1,4,152,Residential,Apartment,Inner area → peaceful housing
42,2,4,116,Commercial,Local Shop,Mid-block → ideal for shops
43,3,4,526,Road,,
44,4,4,478,Residential,Apartment,Inner area → peaceful housing
45,5,4,543,Residential,Apartment,Inner area → peaceful housing
46,6,4,154,Road,,
47,7,4,527,Commercial,Local Shop,Mid-block → ideal for shops
48,8,4,454,Green,Park,Scattered for public access
49,9,4,498,Road,,
50,0,5,174,Road,,
51,1,5,110,Green,Park,Scattered for public access
52,2,5,510,Residential,Independent House,Inner area → peaceful housing
53,3,5,547,Road,,
54,4,5,247,Residential,Independent House,Inner area → peaceful housing
55,5,5,356,Residential,Independent House,Inner area → peaceful housing
56,6,5,545,Road,,
57,7,5,377,Commercial,Local Shop,Mid-block → ideal for shops
58,8,5,287,Commercial,Local Shop,Mid-block → ideal for shops
59,9,5,231,Road,,
60,0,6,412,Road,,
61,1,6,287,Road,,
62,2,6,331,Road,,
63,3,6,327,Road,,
64,4,6,544,Road,,
65,5,6,204,Road,,
66,6,6,335,Road,,
67,7,6,486,Road,,
68,8,6,480,Road,,
69,9,6,243,Road,,
70,0,7,165,Road,,
71,1,7,232,Commercial,Local Shop,Mid-block → ideal for shops
72,2,7,120,Residential,Independent House,Inner area → peaceful housing
73,3,7,127,Road,,
74,4,7,162,Residential,Independent House,Inner area → peaceful housing
75,5,7,341,Green,Park,Scattered for public access
76,6,7,341,Road,,
77,7,7,300,Residential,Independent House,Inner area → peaceful housing
78,8,7,418,Commercial,Local Shop,Mid-block → ideal for shops
79,9,7,115,Road,,
80,0,8,319,Road,,
81,1,8,192,Green,Park,Scattered for public access
82,2,8,334,Residential,Independent House,Inner area → peaceful housing
83,3,8,422,Road,,
84,4,8,313,Residential,Independent House,Inner area → peaceful housing
85,5,8,303,Residential,Independent House,Inner area → peaceful housing
86,6,8,342,Road,,
87,7,8,281,Green,Park,Scattered for public access
88,8,8,487,Residential,Independent House,Inner area → peaceful housing
89,9,8,310,Road,,
90,0,9,547,Road,,
91,1,9,373,Road,,
92,2,9,177,Road,,
93,3,9,458,Road,,
94,4,9,505,Road,,
95,5,9,393,Road,,
96,6,9,231,Road,,
97,7,9,224,Road,,
98,8,9,182,Road,,
99,9,9,199,Road,,
